cust_id,customer_gender,age_group,customer_country,referral_type
1,Male,35-44,Denmark,Google Ads
2,Female,18-24,Denmark,facebook
3,Female,25-34,Norway,facebook
4,Male,18-24,Sweden,Display
5,Male,35-44,Sweden,Google Ads
6,Male,55-65,Sweden,facebook
7,Female,25-34,Sweden,facebook
8,Other,45-54,Sweden,facebook
9,Female,25-34,Sweden,facebook
10,Female,25-34,Finland,facebook
11,Female,45-54,Norway,Organic Search
12,Male,25-34,Finland,facebook
13,Male,55-65,Norway,Google Ads
14,Female,35-44,Norway,Google Ads
15,Female,25-34,Norway,Google Ads
16,Female,18-24,Norway,Organic Search
17,Male,45-54,Denmark,Unknown
18,Female,35-44,Denmark,Bing
19,Male,25-34,Norway,Organic Search
20,Male,45-54,Finland,Google Ads
21,Other,55-65,Sweden,Organic Search
22,Female,25-34,Finland,Unknown
23,Female,35-44,Sweden,facebook
24,Female,18-24,Denmark,facebook
25,Female,35-44,Sweden,Google Ads
26,Female,35-44,Sweden,Paid Search
27,Male,25-34,Finland,Google Ads
28,Male,55-65,Sweden,facebook
29,Female,55-65,Sweden,Unknown
30,Male,45-54,Sweden,Bing
31,Male,35-44,Sweden,Google Ads
32,Female,45-54,Finland,Display
33,Male,18-24,Sweden,facebook
34,Male,45-54,Norway,Paid Search
35,Male,18-24,Sweden,Paid Search
36,Female,45-54,Denmark,Google Ads
37,Female,35-44,Sweden,facebook
38,Male,25-34,Finland,Unknown
39,Male,18-24,Sweden,Google Ads
40,Other,18-24,Denmark,facebook
41,Male,35-44,Sweden,Google Ads
42,Female,25-34,Sweden,TV
43,Female,45-54,Sweden,Organic Search
44,Male,18-24,Sweden,Paid Search
45,Female,55-65,Sweden,Unknown
46,Male,18-24,Sweden,Paid Search
47,Male,18-24,Sweden,Google Ads
48,Male,55-65,Sweden,facebook
49,Female,18-24,Sweden,Google Ads
50,Other,65-55,Sweden,facebook
51,Female,18-24,Sweden,Google Ads
52,Other,25-34,Denmark,Google Ads
53,Female,25-34,Denmark,facebook
54,Female,55-65,Sweden,TV
55,Male,45-54,Sweden,Paid Search
56,Female,45-54,Finland,facebook
57,Male,35-44,Sweden,Paid Search
58,Female,25-34,Norway,facebook
59,Female,35-44,Norway,Paid Search
60,Male,45-54,Finland,facebook
61,Male,25-34,Sweden,Organic Search
62,Female,35-44,Sweden,Organic Search
63,Female,18-24,Denmark,facebook
64,Female,25-34,Sweden,facebook
65,Male,55-65,Denmark,Paid Search
66,Male,35-44,Sweden,Organic Search
67,Male,55-65,Norway,Organic Search
68,Female,45-54,Norway,Google Ads
69,Male,55-65,Sweden,facebook
70,Female,45-54,Sweden,Google Ads
71,Male,55-65,Denmark,Google Ads
72,Male,18-24,Finland,facebook
73,Female,45-54,Norway,facebook
74,Male,18-24,Finland,Google Ads
75,Male,18-24,Norway,facebook
76,Male,25-34,Sweden,Google Ads
77,Female,35-44,Sweden,facebook
78,Male,45-54,Sweden,Google Ads
79,Male,18-24,Sweden,Google Ads
80,Female,18-24,Denmark,Organic Search
81,Female,45-54,Sweden,Unknown
82,Female,18-24,Sweden,Paid Search
83,Male,35-44,Norway,facebook
84,Female,45-54,Finland,Google Ads
85,Male,55-65,Sweden,Organic Search
86,Male,18-24,Norway,facebook
87,Female,25-34,Sweden,Google Ads
88,Male,25-34,Finland,facebook
89,Other,55-65,Sweden,Display
90,Male,55-65,Sweden,Google Ads
91,Female,18-24,Sweden,Organic Search
92,Female,35-44,Sweden,Organic Search
93,Male,55-65,Sweden,Google Ads
94,Male,18-24,Denmark,facebook
95,Male,45-54,Sweden,Google Ads
96,Female,55-65,Norway,Google Ads
97,Female,45-54,Sweden,Google Ads
98,Male,18-24,Denmark,Google Ads
99,Male,35-44,Sweden,Unknown
100,Male,25-34,Norway,Paid Search
101,Female,45-54,Norway,Google Ads
102,Male,18-24,Sweden,Google Ads
103,Male,55-65,Finland,facebook
104,Male,18-24,Sweden,Google Ads
105,Male,18-24,Denmark,Paid Search
106,Male,55-65,Denmark,Display
107,Female,55-65,Norway,facebook
108,Female,45-54,Finland,Unknown
109,Male,55-65,Finland,Unknown
110,Female,18-24,Norway,facebook
111,Female,18-24,Denmark,Unknown
112,Female,25-34,Sweden,Paid Search
113,Female,45-54,Finland,Unknown
114,Male,65-55,Denmark,facebook
115,Female,45-54,Finland,facebook
116,Other,25-34,Sweden,Paid Search
117,Female,25-34,Finland,Google Ads
118,Male,25-34,Denmark,facebook
119,Female,55-65,Sweden,Google Ads
120,Male,18-24,Sweden,Google Ads
121,Male,35-44,Finland,Paid Search
122,Female,25-34,Sweden,Google Ads
123,Male,55-65,Sweden,Paid Search
124,Female,25-34,Denmark,facebook
125,Female,35-44,Finland,Organic Search
126,Female,35-44,Norway,Google Ads
127,Female,25-34,Denmark,Paid Search
128,Female,35-44,Denmark,Google Ads
129,Male,25-34,Sweden,Paid Search
130,Male,55-65,Norway,Bing
131,Female,45-54,Sweden,Organic Search
132,Male,65-55,Sweden,Unknown
133,Male,45-54,Norway,Google Ads
134,Female,25-34,Sweden,Paid Search
135,Male,18-24,Norway,Google Ads
136,Female,18-24,Norway,Google Ads
137,Male,35-44,Norway,Unknown
138,Male,25-34,Sweden,Google Ads
139,Female,35-44,Finland,Google Ads
140,Male,45-54,Sweden,Google Ads
141,Male,45-54,Sweden,facebook
142,Male,35-44,Finland,Organic Search
143,Female,55-65,Norway,facebook
144,Female,55-65,Norway,facebook
145,Female,35-44,Sweden,Google Ads
146,Male,55-65,Denmark,facebook
147,Female,45-54,Finland,facebook
148,Female,35-44,Norway,Unknown
149,Male,55-65,Sweden,Google Ads
150,Female,35-44,Denmark,Paid Search
151,Male,18-24,Sweden,Display
152,Male,35-44,Sweden,TV
153,Female,25-34,Norway,Google Ads
154,Female,35-44,Denmark,Organic Search
155,Male,18-24,Norway,Bing
156,Male,25-34,Sweden,facebook
157,Male,18-24,Sweden,facebook
158,Male,25-34,Norway,facebook
159,Female,35-44,Sweden,Unknown
160,Female,25-34,Finland,facebook
161,Male,18-24,Norway,Google Ads
162,Female,55-65,Denmark,facebook
163,Male,35-44,Denmark,Unknown
164,Female,55-65,Finland,Google Ads
165,Male,18-24,Finland,Paid Search
166,Male,18-24,Denmark,Google Ads
167,Female,18-24,Norway,TV
168,Other,25-34,Sweden,Paid Search
169,Female,45-54,Finland,Google Ads
170,Female,55-65,Finland,Organic Search
171,Female,25-34,Norway,facebook
172,Male,18-24,Sweden,Unknown
173,Male,18-24,Sweden,Display
174,Female,55-65,Denmark,Organic Search
175,Female,25-34,Sweden,facebook
176,Female,45-54,Sweden,Paid Search
177,Male,55-65,Norway,facebook
178,Female,25-34,Sweden,facebook
179,Female,55-65,Sweden,Bing
180,Female,55-65,Sweden,Organic Search
181,Female,25-34,Finland,Google Ads
182,Female,35-44,Finland,facebook
183,Female,25-34,Norway,facebook
184,Male,55-65,Finland,Google Ads
185,Female,45-54,Sweden,Google Ads
186,Male,55-65,Sweden,Bing
187,Other,45-54,Finland,Google Ads
188,Female,35-44,Finland,facebook
189,Female,18-24,Sweden,Google Ads
190,Female,35-44,Sweden,facebook
191,Male,35-44,Finland,Paid Search
192,Female,25-34,Sweden,Google Ads
193,Male,25-34,Norway,Google Ads
194,Male,25-34,Denmark,Google Ads
195,Male,18-24,Sweden,Display
196,Female,45-54,Finland,Organic Search
197,Male,55-65,Finland,TV
198,Female,35-44,Finland,Display
199,Female,55-65,Sweden,Google Ads
200,Female,18-24,Sweden,Google Ads
201,Female,25-34,Norway,facebook
202,Male,55-65,Denmark,TV
203,Other,25-34,Denmark,facebook
204,Female,45-54,Sweden,facebook
205,Female,18-24,Sweden,facebook
206,Female,55-65,Denmark,Google Ads
207,Male,25-34,Sweden,Google Ads
208,Female,25-34,Norway,facebook
209,Female,55-65,Sweden,Organic Search
210,Female,35-44,Finland,Paid Search
211,Female,35-44,Finland,facebook
212,Male,25-34,Finland,Paid Search
213,Female,45-54,Sweden,Google Ads
214,Female,18-24,Denmark,Paid Search
215,Female,25-34,Norway,Google Ads
216,Other,65-55,Sweden,Google Ads
217,Female,18-24,Sweden,Paid Search
218,Female,18-24,Denmark,TV
219,Male,18-24,Sweden,Organic Search
220,Female,55-65,Norway,facebook
221,Male,18-24,Denmark,Google Ads
222,Male,55-65,Norway,TV
223,Other,65-55,Finland,facebook
224,Male,18-24,Finland,facebook
225,Male,18-24,Finland,Google Ads
226,Female,18-24,Sweden,facebook
227,Male,25-34,Sweden,Google Ads
228,Other,55-65,Sweden,Paid Search
229,Female,55-65,Norway,Google Ads
230,Male,18-24,Norway,facebook
231,Female,18-24,Sweden,facebook
232,Female,35-44,Denmark,Paid Search
233,Male,45-54,Norway,Google Ads
234,Male,35-44,Finland,Organic Search
235,Male,65-55,Sweden,Unknown
236,Male,35-44,Finland,Google Ads
237,Female,55-65,Denmark,Google Ads
238,Male,35-44,Finland,Paid Search
239,Male,55-65,Denmark,facebook
240,Female,45-54,Norway,Google Ads
241,Male,18-24,Norway,Organic Search
242,Male,18-24,Norway,Google Ads
243,Female,45-54,Denmark,Google Ads
244,Female,18-24,Sweden,Google Ads
245,Male,25-34,Norway,Google Ads
246,Other,55-65,Sweden,Google Ads
247,Female,65-55,Norway,Organic Search
248,Female,35-44,Denmark,TV
249,Male,18-24,Sweden,Paid Search
250,Male,35-44,Sweden,facebook
251,Other,35-44,Finland,Organic Search
252,Female,35-44,Finland,Google Ads
253,Female,25-34,Finland,Google Ads
254,Male,18-24,Denmark,Bing
255,Other,45-54,Norway,facebook
256,Female,35-44,Finland,Google Ads
257,Male,45-54,Finland,Organic Search
258,Other,18-24,Denmark,Google Ads
259,Male,45-54,Norway,Google Ads
260,Male,55-65,Norway,Paid Search
261,Other,35-44,Denmark,Google Ads
262,Female,35-44,Norway,Google Ads
263,Female,18-24,Denmark,Bing
264,Female,18-24,Norway,Organic Search
265,Female,25-34,Finland,Google Ads
266,Female,25-34,Norway,facebook
267,Female,35-44,Finland,facebook
268,Male,25-34,Finland,facebook
269,Female,35-44,Sweden,facebook
270,Female,25-34,Denmark,Paid Search
271,Female,35-44,Denmark,Google Ads
272,Female,25-34,Sweden,Paid Search
273,Male,55-65,Denmark,Paid Search
274,Female,35-44,Sweden,Google Ads
275,Female,45-54,Norway,facebook
276,Female,18-24,Finland,facebook
277,Female,55-65,Finland,Google Ads
278,Female,18-24,Sweden,Google Ads
279,Female,45-54,Finland,Unknown
280,Female,25-34,Finland,Google Ads
281,Male,18-24,Norway,Unknown
282,Female,25-34,Sweden,Google Ads
283,Male,55-65,Sweden,facebook
284,Male,18-24,Denmark,facebook
285,Female,35-44,Denmark,Organic Search
286,Male,35-44,Finland,TV
287,Female,18-24,Sweden,Google Ads
288,Male,18-24,Norway,Organic Search
289,Male,45-54,Sweden,facebook
290,Male,45-54,Sweden,facebook
291,Female,55-65,Finland,facebook
292,Male,55-65,Norway,facebook
293,Male,25-34,Finland,facebook
294,Male,35-44,Sweden,Google Ads
295,Female,55-65,Norway,Unknown
296,Male,18-24,Denmark,facebook
297,Male,25-34,Denmark,Unknown
298,Female,25-34,Sweden,Google Ads
299,Female,45-54,Norway,Google Ads
300,Other,55-65,Denmark,facebook
301,Female,25-34,Denmark,Organic Search
302,Female,55-65,Denmark,Bing
303,Female,55-65,Denmark,facebook
304,Female,18-24,Sweden,Unknown
305,Female,18-24,Sweden,Google Ads
306,Male,65-55,Sweden,Paid Search
307,Male,35-44,Sweden,facebook
308,Female,25-34,Sweden,Organic Search
309,Female,45-54,Norway,Organic Search
310,Male,35-44,Denmark,Unknown
311,Male,35-44,Norway,Organic Search
312,Other,18-24,Denmark,Display
313,Male,35-44,Norway,Paid Search
314,Female,55-65,Finland,Paid Search
315,Female,25-34,Sweden,TV
316,Male,45-54,Norway,Paid Search
317,Female,65-55,Sweden,facebook
318,Female,45-54,Norway,Google Ads
319,Female,65-55,Finland,Google Ads
320,Female,18-24,Finland,Google Ads
321,Female,35-44,Denmark,Google Ads
322,Female,18-24,Norway,facebook
323,Female,55-65,Norway,Google Ads
324,Male,55-65,Norway,facebook
325,Female,35-44,Sweden,Display
326,Female,18-24,Finland,facebook
327,Female,55-65,Denmark,Unknown
328,Other,35-44,Denmark,Organic Search
329,Male,18-24,Sweden,Display
330,Female,18-24,Denmark,TV
331,Female,45-54,Sweden,Paid Search
332,Female,45-54,Sweden,Organic Search
333,Female,45-54,Denmark,Bing
334,Female,45-54,Norway,Bing
335,Female,55-65,Denmark,Google Ads
336,Female,18-24,Finland,Organic Search
337,Other,55-65,Norway,Google Ads
338,Male,18-24,Denmark,facebook
339,Female,18-24,Denmark,Paid Search
340,Male,45-54,Sweden,Google Ads
341,Male,18-24,Sweden,Organic Search
342,Female,25-34,Denmark,Paid Search
343,Female,45-54,Finland,Google Ads
344,Other,25-34,Denmark,Unknown
345,Other,45-54,Finland,Organic Search
346,Female,25-34,Sweden,facebook
347,Female,18-24,Sweden,Paid Search
348,Female,18-24,Denmark,Unknown
349,Other,35-44,Sweden,facebook
350,Female,45-54,Norway,facebook
351,Female,45-54,Sweden,facebook
352,Female,25-34,Denmark,facebook
353,Female,25-34,Sweden,facebook
354,Female,18-24,Sweden,facebook
355,Female,35-44,Norway,facebook
356,Male,55-65,Denmark,Organic Search
357,Female,25-34,Norway,Google Ads
358,Male,35-44,Sweden,TV
359,Female,55-65,Denmark,facebook
360,Male,55-65,Denmark,facebook
361,Male,25-34,Sweden,facebook
362,Female,45-54,Sweden,Google Ads
363,Female,55-65,Sweden,Organic Search
364,Other,18-24,Denmark,facebook
365,Female,55-65,Norway,facebook
366,Female,45-54,Norway,Google Ads
367,Male,45-54,Denmark,Google Ads
368,Other,18-24,Norway,Paid Search
369,Male,55-65,Norway,facebook
370,Male,35-44,Norway,Google Ads
371,Female,45-54,Sweden,Google Ads
372,Female,35-44,Sweden,Paid Search
373,Male,45-54,Finland,Google Ads
374,Other,25-34,Norway,Google Ads
375,Male,18-24,Finland,Paid Search
376,Female,55-65,Norway,Paid Search
