cust_id,transaction_type,transaction_date,subscription_type,subscription_price
1,initial,2020-09-01,BASIC,50
2,initial,2022-03-01,BASIC,50
3,initial,2020-10-01,MAX,150
3,REDUCTION,2022-02-01,BASIC,50
4,initial,2022-05-01,PRO,100
5,initial,2022-08-01,BASIC,50
6,initial,2022-06-01,MAX,150
6,CHURN,2022-07-23,MAX,150
7,initial,2022-02-01,MAX,150
8,initial,2021-01-01,BASIC,50
8,CHURN,2021-04-01,BASIC,50
9,initial,2020-08-01,BASIC,50
9,CHURN,2021-03-01,BASIC,50
10,initial,2022-09-01,MAX,150
11,initial,2020-05-01,BASIC,50
11,UPGRADE,2022-01-01,MAX,150
12,initial,2020-09-01,BASIC,50
12,UPGRADE,2022-09-01,PRO,100
13,initial,2022-06-01,BASIC,50
14,initial,2020-03-01,BASIC,50
14,UPGRADE,2020-07-01,PRO,100
15,initial,2022-06-01,PRO,100
16,initial,2020-12-01,PRO,100
16,UPGRADE,2022-11-01,MAX,150
17,initial,2021-12-01,BASIC,50
17,CHURN,2022-08-01,BASIC,50
18,initial,2021-11-01,BASIC,50
19,initial,2022-09-01,PRO,100
19,REDUCTION,2022-10-01,BASIC,50
20,initial,2022-11-01,PRO,100
21,initial,2021-09-01,PRO,100
21,UPGRADE,2022-10-01,MAX,150
22,initial,2022-06-01,BASIC,50
22,CHURN,2022-11-01,BASIC,50
23,initial,2020-12-01,MAX,150
23,REDUCTION,2021-05-01,PRO,100
24,initial,2021-03-01,MAX,150
24,REDUCTION,2022-04-01,PRO,100
25,initial,2020-12-01,MAX,150
25,REDUCTION,2022-08-01,BASIC,50
26,initial,2021-02-01,BASIC,50
26,UPGRADE,2022-07-01,PRO,100
26,CHURN,2022-10-01,PRO,100
27,initial,2020-12-01,BASIC,50
28,initial,2022-07-01,PRO,100
28,CHURN,2023-06-02,PRO,100
29,initial,2020-06-01,PRO,100
29,UPGRADE,2022-07-01,MAX,150
30,initial,2022-07-01,PRO,100
30,REDUCTION,2022-10-01,BASIC,50
31,initial,2021-05-01,PRO,100
31,UPGRADE,2022-11-01,MAX,150
32,initial,2022-04-01,MAX,150
33,initial,2021-09-01,BASIC,50
33,CHURN,2022-09-01,BASIC,50
34,initial,2022-02-01,BASIC,50
35,initial,2022-05-01,PRO,100
36,initial,2022-10-01,MAX,150
37,initial,2020-02-01,PRO,100
37,UPGRADE,2020-11-01,MAX,150
37,CHURN,2020-11-01,PRO,100
38,initial,2021-06-01,PRO,100
